Gene stable ID	Transcript stable ID	Cleavage site (Signalp)	Cleavage site (Signalp) start	Cleavage site (Signalp) end
ENSMUSG00000036790	ENSMUST00000166241	SignalP-noTM	1	21
ENSMUSG00000090751	ENSMUST00000163803	SignalP-noTM	1	18
ENSMUSG00000015083	ENSMUST00000040042	SignalP-noTM	1	20
ENSMUSG00000050912	ENSMUST00000052865	SignalP-noTM	1	23
ENSMUSG00000091528	ENSMUST00000173815	SignalP-noTM	1	18
ENSMUSG00000091528	ENSMUST00000166914	SignalP-noTM	1	18
ENSMUSG00000031302	ENSMUST00000130555	SignalP-noTM	1	34
ENSMUSG00000031302	ENSMUST00000151528	SignalP-noTM	1	34
ENSMUSG00000031302	ENSMUST00000065858	SignalP-noTM	1	34
ENSMUSG00000030084	ENSMUST00000163139	SignalP-noTM	1	27
ENSMUSG00000030084	ENSMUST00000049845	SignalP-noTM	1	27
ENSMUSG00000004892	ENSMUST00000090971	SignalP-noTM	1	22
ENSMUSG00000004892	ENSMUST00000194193	SignalP-noTM	1	22
ENSMUSG00000038991	ENSMUST00000035988	SignalP-noTM	1	33
ENSMUSG00000051397	ENSMUST00000058178	SignalP-noTM	1	24
ENSMUSG00000079465	ENSMUST00000113457	SignalP-noTM	1	28
ENSMUSG00000092618	ENSMUST00000075483	SignalP-noTM	1	28
ENSMUSG00000022665	ENSMUST00000099498	SignalP-noTM	1	22
ENSMUSG00000022665	ENSMUST00000061050	SignalP-noTM	1	22
ENSMUSG00000020260	ENSMUST00000020493	SignalP-noTM	1	21
ENSMUSG00000040537	ENSMUST00000088761	SignalP-noTM	1	23
ENSMUSG00000040537	ENSMUST00000115386	SignalP-noTM	1	23
ENSMUSG00000040537	ENSMUST00000050166	SignalP-noTM	1	23
ENSMUSG00000040537	ENSMUST00000046838	SignalP-noTM	1	23
ENSMUSG00000040537	ENSMUST00000115385	SignalP-noTM	1	23
ENSMUSG00000040537	ENSMUST00000115388	SignalP-noTM	1	23
ENSMUSG00000040537	ENSMUST00000088744	SignalP-noTM	1	23
ENSMUSG00000056222	ENSMUST00000187852	SignalP-noTM	1	21
ENSMUSG00000056222	ENSMUST00000189373	SignalP-noTM	1	21
ENSMUSG00000056222	ENSMUST00000185502	SignalP-noTM	1	21
ENSMUSG00000056222	ENSMUST00000186271	SignalP-noTM	1	21
ENSMUSG00000056222	ENSMUST00000185905	SignalP-noTM	1	21
ENSMUSG00000056222	ENSMUST00000172326	SignalP-noTM	1	21
ENSMUSG00000038235	ENSMUST00000043839	SignalP-noTM	1	26
ENSMUSG00000021318	ENSMUST00000141194	SignalP-noTM	1	28
ENSMUSG00000029228	ENSMUST00000039744	SignalP-noTM	1	15
ENSMUSG00000029228	ENSMUST00000117525	SignalP-noTM	1	15
ENSMUSG00000029228	ENSMUST00000121690	SignalP-noTM	1	15
ENSMUSG00000022037	ENSMUST00000022616	SignalP-noTM	1	21
ENSMUSG00000022037	ENSMUST00000153460	SignalP-noTM	1	21
ENSMUSG00000022037	ENSMUST00000127387	SignalP-noTM	1	21
ENSMUSG00000022037	ENSMUST00000138191	SignalP-noTM	1	21
ENSMUSG00000022037	ENSMUST00000128539	SignalP-noTM	1	21
ENSMUSG00000032110	ENSMUST00000034620	SignalP-noTM	1	17
ENSMUSG00000074141	ENSMUST00000118125	SignalP-noTM	1	28
ENSMUSG00000074141	ENSMUST00000033015	SignalP-noTM	1	20
ENSMUSG00000039270	ENSMUST00000107359	SignalP-noTM	1	34
ENSMUSG00000042248	ENSMUST00000049178	SignalP-noTM	1	20
ENSMUSG00000041189	ENSMUST00000045971	SignalP-noTM	1	23
ENSMUSG00000078784	ENSMUST00000108365	SignalP-noTM	1	23
ENSMUSG00000035653	ENSMUST00000055815	SignalP-noTM	1	17
ENSMUSG00000035653	ENSMUST00000119481	SignalP-noTM	1	17
ENSMUSG00000061947	ENSMUST00000044231	SignalP-noTM	1	21
ENSMUSG00000061947	ENSMUST00000121625	SignalP-noTM	1	21
ENSMUSG00000031283	ENSMUST00000063029	SignalP-noTM	1	22
ENSMUSG00000031283	ENSMUST00000074660	SignalP-noTM	1	22
ENSMUSG00000031283	ENSMUST00000207415	SignalP-noTM	1	22
ENSMUSG00000031283	ENSMUST00000112878	SignalP-noTM	1	22
ENSMUSG00000031283	ENSMUST00000166406	SignalP-noTM	1	22
ENSMUSG00000054827	ENSMUST00000068094	SignalP-noTM	1	25
ENSMUSG00000054827	ENSMUST00000080171	SignalP-noTM	1	25
ENSMUSG00000026573	ENSMUST00000027860	SignalP-noTM	1	21
ENSMUSG00000039004	ENSMUST00000171970	SignalP-noTM	1	20
ENSMUSG00000022548	ENSMUST00000130560	SignalP-noTM	1	20
ENSMUSG00000022548	ENSMUST00000115230	SignalP-noTM	1	20
ENSMUSG00000026368	ENSMUST00000027615	SignalP-noTM	1	21
ENSMUSG00000026574	ENSMUST00000027861	SignalP-noTM	1	18
ENSMUSG00000028542	ENSMUST00000123994	SignalP-TM	1	23
ENSMUSG00000099729	ENSMUST00000188293	SignalP-noTM	1	23
ENSMUSG00000029664	ENSMUST00000031674	SignalP-noTM	1	28
ENSMUSG00000101638	ENSMUST00000186031	SignalP-noTM	1	20
ENSMUSG00000071738	ENSMUST00000096389	SignalP-noTM	1	30
ENSMUSG00000044006	ENSMUST00000057831	SignalP-noTM	1	20
ENSMUSG00000024392	ENSMUST00000173535	SignalP-noTM	1	17
ENSMUSG00000024392	ENSMUST00000173952	SignalP-noTM	1	17
ENSMUSG00000032179	ENSMUST00000012281	SignalP-noTM	1	25
ENSMUSG00000097982	ENSMUST00000183195	SignalP-noTM	1	23
ENSMUSG00000025969	ENSMUST00000102822	SignalP-noTM	1	22
ENSMUSG00000025969	ENSMUST00000075144	SignalP-noTM	1	22
ENSMUSG00000025969	ENSMUST00000027112	SignalP-noTM	1	22
ENSMUSG00000025969	ENSMUST00000114155	SignalP-noTM	1	22
ENSMUSG00000025969	ENSMUST00000063594	SignalP-noTM	1	22
ENSMUSG00000025969	ENSMUST00000114157	SignalP-noTM	1	22
ENSMUSG00000038280	ENSMUST00000040718	SignalP-noTM	1	34
ENSMUSG00000101520	ENSMUST00000188355	SignalP-noTM	1	23
ENSMUSG00000089736	ENSMUST00000110993	SignalP-noTM	1	17
ENSMUSG00000032320	ENSMUST00000114276	SignalP-noTM	1	28
ENSMUSG00000063779	ENSMUST00000082219	SignalP-noTM	1	21
ENSMUSG00000092345	ENSMUST00000174664	SignalP-noTM	1	37
ENSMUSG00000037470	ENSMUST00000046875	SignalP-noTM	1	42
ENSMUSG00000060807	ENSMUST00000044159	SignalP-noTM	1	22
ENSMUSG00000060807	ENSMUST00000152517	SignalP-noTM	1	16
ENSMUSG00000040809	ENSMUST00000063062	SignalP-noTM	1	21
ENSMUSG00000070972	ENSMUST00000095070	SignalP-noTM	1	37
ENSMUSG00000060459	ENSMUST00000100046	SignalP-noTM	1	23
ENSMUSG00000060459	ENSMUST00000115349	SignalP-noTM	1	23
ENSMUSG00000060459	ENSMUST00000039338	SignalP-noTM	1	23
ENSMUSG00000009646	ENSMUST00000009790	SignalP-noTM	1	19
ENSMUSG00000009566	ENSMUST00000028148	SignalP-noTM	1	21
ENSMUSG00000022579	ENSMUST00000189944	SignalP-noTM	1	22
ENSMUSG00000022579	ENSMUST00000023243	SignalP-noTM	1	22
ENSMUSG00000022579	ENSMUST00000189874	SignalP-noTM	1	22
ENSMUSG00000020548	ENSMUST00000108696	SignalP-noTM	1	23
ENSMUSG00000020548	ENSMUST00000020855	SignalP-noTM	1	23
ENSMUSG00000071179	ENSMUST00000164148	SignalP-noTM	1	20
ENSMUSG00000071179	ENSMUST00000095451	SignalP-noTM	1	20
ENSMUSG00000026814	ENSMUST00000113272	SignalP-noTM	1	26
ENSMUSG00000026814	ENSMUST00000009705	SignalP-noTM	1	26
ENSMUSG00000026814	ENSMUST00000167841	SignalP-noTM	1	25
ENSMUSG00000075510	ENSMUST00000100369	SignalP-noTM	1	18
ENSMUSG00000021081	ENSMUST00000117053	SignalP-noTM	1	27
ENSMUSG00000021081	ENSMUST00000021490	SignalP-noTM	1	27
ENSMUSG00000021081	ENSMUST00000118101	SignalP-noTM	1	27
ENSMUSG00000094107	ENSMUST00000170131	SignalP-noTM	1	18
ENSMUSG00000039899	ENSMUST00000035799	SignalP-noTM	1	19
ENSMUSG00000028597	ENSMUST00000030332	SignalP-noTM	1	18
ENSMUSG00000028597	ENSMUST00000184609	SignalP-noTM	1	18
ENSMUSG00000041523	ENSMUST00000047740	SignalP-noTM	1	25
ENSMUSG00000015468	ENSMUST00000015612	SignalP-noTM	1	20
ENSMUSG00000031074	ENSMUST00000155320	SignalP-noTM	1	17
ENSMUSG00000031074	ENSMUST00000105898	SignalP-noTM	1	17
ENSMUSG00000005087	ENSMUST00000005218	SignalP-noTM	1	20
ENSMUSG00000005087	ENSMUST00000060516	SignalP-noTM	1	20
ENSMUSG00000005087	ENSMUST00000099673	SignalP-noTM	1	20
ENSMUSG00000005087	ENSMUST00000111190	SignalP-noTM	1	20
ENSMUSG00000005087	ENSMUST00000111191	SignalP-noTM	1	20
ENSMUSG00000005087	ENSMUST00000111198	SignalP-noTM	1	20
ENSMUSG00000005087	ENSMUST00000111192	SignalP-noTM	1	20
ENSMUSG00000005087	ENSMUST00000111194	SignalP-noTM	1	20
ENSMUSG00000029797	ENSMUST00000212740	SignalP-noTM	1	17
ENSMUSG00000029797	ENSMUST00000169350	SignalP-noTM	1	17
ENSMUSG00000029797	ENSMUST00000043676	SignalP-noTM	1	17
ENSMUSG00000038371	ENSMUST00000166885	SignalP-noTM	1	23
ENSMUSG00000024116	ENSMUST00000024928	SignalP-noTM	1	21
ENSMUSG00000078757	ENSMUST00000108094	SignalP-noTM	1	23
ENSMUSG00000046610	ENSMUST00000115097	SignalP-noTM	1	19
ENSMUSG00000046610	ENSMUST00000117694	SignalP-noTM	1	19
ENSMUSG00000030742	ENSMUST00000206793	SignalP-TM	1	25
ENSMUSG00000030742	ENSMUST00000032997	SignalP-TM	1	25
ENSMUSG00000030742	ENSMUST00000205642	SignalP-TM	1	25
ENSMUSG00000025646	ENSMUST00000159614	SignalP-noTM	1	17
ENSMUSG00000060613	ENSMUST00000051846	SignalP-TM	1	27
ENSMUSG00000033227	ENSMUST00000006716	SignalP-noTM	1	23
ENSMUSG00000026867	ENSMUST00000113103	SignalP-noTM	1	22
ENSMUSG00000050917	ENSMUST00000060336	SignalP-noTM	1	29
ENSMUSG00000042763	ENSMUST00000064444	SignalP-TM	1	25
ENSMUSG00000031073	ENSMUST00000033389	SignalP-noTM	1	25
ENSMUSG00000031073	ENSMUST00000207229	SignalP-noTM	1	25
ENSMUSG00000030339	ENSMUST00000032489	SignalP-noTM	1	27
ENSMUSG00000044338	ENSMUST00000184728	SignalP-noTM	1	14
ENSMUSG00000027208	ENSMUST00000064794	SignalP-noTM	1	20
ENSMUSG00000027208	ENSMUST00000110442	SignalP-noTM	1	20
ENSMUSG00000057037	ENSMUST00000023965	SignalP-noTM	1	23
ENSMUSG00000005994	ENSMUST00000102831	SignalP-noTM	1	24
ENSMUSG00000005994	ENSMUST00000133655	SignalP-noTM	1	24
ENSMUSG00000005994	ENSMUST00000006151	SignalP-noTM	1	24
ENSMUSG00000021624	ENSMUST00000022124	SignalP-noTM	1	20
ENSMUSG00000021624	ENSMUST00000171267	SignalP-noTM	1	20
ENSMUSG00000021624	ENSMUST00000167144	SignalP-noTM	1	20
ENSMUSG00000021624	ENSMUST00000170878	SignalP-noTM	1	20
ENSMUSG00000021624	ENSMUST00000172138	SignalP-noTM	1	20
ENSMUSG00000002664	ENSMUST00000002740	SignalP-noTM	1	21
ENSMUSG00000000305	ENSMUST00000000314	SignalP-noTM	1	20
ENSMUSG00000000305	ENSMUST00000108911	SignalP-noTM	1	20
ENSMUSG00000021278	ENSMUST00000021707	SignalP-noTM	1	19
ENSMUSG00000033327	ENSMUST00000168533	SignalP-noTM	1	21
ENSMUSG00000033327	ENSMUST00000087399	SignalP-noTM	1	21
ENSMUSG00000024299	ENSMUST00000087623	SignalP-noTM	1	25
ENSMUSG00000060679	ENSMUST00000057208	SignalP-noTM	1	22
ENSMUSG00000009654	ENSMUST00000009798	SignalP-noTM	1	19
ENSMUSG00000026167	ENSMUST00000006718	SignalP-noTM	1	41
ENSMUSG00000071177	ENSMUST00000078869	SignalP-noTM	1	24
ENSMUSG00000039116	ENSMUST00000041168	SignalP-noTM	1	30
ENSMUSG00000039116	ENSMUST00000208429	SignalP-noTM	1	30
ENSMUSG00000071178	ENSMUST00000095450	SignalP-noTM	1	24
ENSMUSG00000071178	ENSMUST00000186166	SignalP-noTM	1	24
ENSMUSG00000071178	ENSMUST00000187220	SignalP-noTM	1	24
ENSMUSG00000071178	ENSMUST00000164454	SignalP-noTM	1	24
ENSMUSG00000025946	ENSMUST00000027083	SignalP-noTM	1	24
ENSMUSG00000022225	ENSMUST00000226280	SignalP-noTM	1	19
ENSMUSG00000022225	ENSMUST00000022834	SignalP-noTM	1	32
ENSMUSG00000050079	ENSMUST00000060389	SignalP-noTM	1	16
ENSMUSG00000050079	ENSMUST00000121101	SignalP-noTM	1	16
ENSMUSG00000050079	ENSMUST00000211983	SignalP-noTM	1	16
ENSMUSG00000045205	ENSMUST00000139385	SignalP-noTM	1	20
ENSMUSG00000070594	ENSMUST00000111986	SignalP-noTM	1	23
ENSMUSG00000070594	ENSMUST00000111989	SignalP-noTM	1	23
ENSMUSG00000070594	ENSMUST00000027612	SignalP-noTM	1	23
ENSMUSG00000047794	ENSMUST00000214712	SignalP-TM	1	24
ENSMUSG00000047794	ENSMUST00000217432	SignalP-TM	1	24
ENSMUSG00000047794	ENSMUST00000209409	SignalP-TM	1	24
ENSMUSG00000030600	ENSMUST00000190954	SignalP-noTM	1	31
ENSMUSG00000030600	ENSMUST00000189877	SignalP-noTM	1	31
ENSMUSG00000030600	ENSMUST00000108288	SignalP-noTM	1	31
ENSMUSG00000030600	ENSMUST00000055110	SignalP-noTM	1	31
ENSMUSG00000016283	ENSMUST00000016427	SignalP-noTM	1	24
ENSMUSG00000016283	ENSMUST00000171139	SignalP-noTM	1	24
ENSMUSG00000084174	ENSMUST00000119180	SignalP-noTM	1	21
ENSMUSG00000071047	ENSMUST00000095211	SignalP-noTM	1	16
ENSMUSG00000038188	ENSMUST00000042808	SignalP-noTM	1	23
ENSMUSG00000038188	ENSMUST00000118243	SignalP-noTM	1	23
ENSMUSG00000047250	ENSMUST00000062069	SignalP-noTM	1	27
ENSMUSG00000097972	ENSMUST00000182975	SignalP-noTM	1	22
ENSMUSG00000101232	ENSMUST00000189118	SignalP-noTM	1	21
ENSMUSG00000059128	ENSMUST00000081684	SignalP-noTM	1	19
ENSMUSG00000009647	ENSMUST00000020312	SignalP-noTM	1	21
ENSMUSG00000060747	ENSMUST00000078364	SignalP-noTM	1	19
ENSMUSG00000049988	ENSMUST00000052437	SignalP-noTM	1	25
ENSMUSG00000049988	ENSMUST00000210609	SignalP-noTM	1	25
ENSMUSG00000068289	ENSMUST00000089555	SignalP-TM	1	18
ENSMUSG00000028876	ENSMUST00000059343	SignalP-noTM	1	22
ENSMUSG00000067336	ENSMUST00000087435	SignalP-noTM	1	26
ENSMUSG00000041324	ENSMUST00000164993	SignalP-noTM	1	20
ENSMUSG00000041324	ENSMUST00000042603	SignalP-noTM	1	20
ENSMUSG00000049313	ENSMUST00000060989	SignalP-noTM	1	28
ENSMUSG00000024517	ENSMUST00000025395	SignalP-noTM	1	23
ENSMUSG00000024517	ENSMUST00000173530	SignalP-noTM	1	23
ENSMUSG00000024517	ENSMUST00000173985	SignalP-noTM	1	23
ENSMUSG00000052013	ENSMUST00000063654	SignalP-noTM	1	29
ENSMUSG00000052013	ENSMUST00000102802	SignalP-noTM	1	29
ENSMUSG00000038508	ENSMUST00000110103	SignalP-noTM	1	37
ENSMUSG00000038508	ENSMUST00000003808	SignalP-noTM	1	37
ENSMUSG00000078964	ENSMUST00000109582	SignalP-noTM	1	18
ENSMUSG00000031877	ENSMUST00000043183	SignalP-noTM	1	26
ENSMUSG00000030341	ENSMUST00000130257	SignalP-noTM	1	29
ENSMUSG00000030341	ENSMUST00000032491	SignalP-noTM	1	29
ENSMUSG00000068040	ENSMUST00000089027	SignalP-noTM	1	23
ENSMUSG00000022598	ENSMUST00000023265	SignalP-noTM	1	20
ENSMUSG00000039013	ENSMUST00000012798	SignalP-noTM	1	16
ENSMUSG00000039013	ENSMUST00000122423	SignalP-noTM	1	16
ENSMUSG00000039013	ENSMUST00000206299	SignalP-noTM	1	16
ENSMUSG00000039013	ENSMUST00000121494	SignalP-noTM	1	16
ENSMUSG00000029102	ENSMUST00000030985	SignalP-noTM	1	32
ENSMUSG00000029102	ENSMUST00000202573	SignalP-noTM	1	32
ENSMUSG00000031903	ENSMUST00000212963	SignalP-noTM	1	33
ENSMUSG00000031903	ENSMUST00000034377	SignalP-noTM	1	33
ENSMUSG00000035242	ENSMUST00000179620	SignalP-noTM	1	21
ENSMUSG00000000157	ENSMUST00000000161	SignalP-noTM	1	22
ENSMUSG00000000157	ENSMUST00000113773	SignalP-noTM	1	22
ENSMUSG00000020758	ENSMUST00000021107	SignalP-noTM	1	28
ENSMUSG00000020758	ENSMUST00000068981	SignalP-noTM	1	28
ENSMUSG00000020758	ENSMUST00000106460	SignalP-noTM	1	28
ENSMUSG00000020758	ENSMUST00000106458	SignalP-noTM	1	28
ENSMUSG00000020758	ENSMUST00000169928	SignalP-noTM	1	28
ENSMUSG00000020758	ENSMUST00000106461	SignalP-noTM	1	28
ENSMUSG00000074743	ENSMUST00000099270	SignalP-noTM	1	16
ENSMUSG00000026285	ENSMUST00000027507	SignalP-noTM	1	24
ENSMUSG00000022875	ENSMUST00000023589	SignalP-noTM	1	23
ENSMUSG00000022875	ENSMUST00000039492	SignalP-noTM	1	23
ENSMUSG00000022875	ENSMUST00000089902	SignalP-noTM	1	23
ENSMUSG00000021592	ENSMUST00000120573	SignalP-noTM	1	18
ENSMUSG00000041445	ENSMUST00000111908	SignalP-noTM	1	22
ENSMUSG00000044279	ENSMUST00000071826	SignalP-TM	1	22
ENSMUSG00000044279	ENSMUST00000097299	SignalP-TM	1	22
ENSMUSG00000044279	ENSMUST00000169543	SignalP-TM	1	22
ENSMUSG00000044279	ENSMUST00000163763	SignalP-TM	1	22
ENSMUSG00000044279	ENSMUST00000163628	SignalP-noTM	1	22
ENSMUSG00000098094	ENSMUST00000182640	SignalP-noTM	1	21
ENSMUSG00000098094	ENSMUST00000182673	SignalP-noTM	1	22
ENSMUSG00000003555	ENSMUST00000026012	SignalP-noTM	1	18
ENSMUSG00000062545	ENSMUST00000074829	SignalP-noTM	1	21
ENSMUSG00000079471	ENSMUST00000178858	SignalP-noTM	1	24
ENSMUSG00000079471	ENSMUST00000113529	SignalP-noTM	1	24
ENSMUSG00000079471	ENSMUST00000208801	SignalP-noTM	1	24
ENSMUSG00000000159	ENSMUST00000113794	SignalP-noTM	1	24
ENSMUSG00000000159	ENSMUST00000000163	SignalP-noTM	1	24
ENSMUSG00000000159	ENSMUST00000081093	SignalP-noTM	1	24
ENSMUSG00000000159	ENSMUST00000113795	SignalP-noTM	1	24
ENSMUSG00000060063	ENSMUST00000071130	SignalP-noTM	1	23
ENSMUSG00000022596	ENSMUST00000190433	SignalP-noTM	1	22
ENSMUSG00000022596	ENSMUST00000023261	SignalP-noTM	1	20
ENSMUSG00000045532	ENSMUST00000057849	SignalP-noTM	1	16
ENSMUSG00000057400	ENSMUST00000034189	SignalP-noTM	1	18
ENSMUSG00000013033	ENSMUST00000141158	SignalP-noTM	1	21
ENSMUSG00000013033	ENSMUST00000045393	SignalP-noTM	1	21
ENSMUSG00000013033	ENSMUST00000132500	SignalP-noTM	1	21
ENSMUSG00000013033	ENSMUST00000152978	SignalP-noTM	1	21
ENSMUSG00000079042	ENSMUST00000142822	SignalP-noTM	1	23
ENSMUSG00000079042	ENSMUST00000124790	SignalP-noTM	1	23
ENSMUSG00000010797	ENSMUST00000010941	SignalP-noTM	1	25
ENSMUSG00000051185	ENSMUST00000059975	SignalP-noTM	1	31
ENSMUSG00000051185	ENSMUST00000186780	SignalP-noTM	1	31
ENSMUSG00000002032	ENSMUST00000114705	SignalP-noTM	1	26
ENSMUSG00000002032	ENSMUST00000002100	SignalP-noTM	1	26
ENSMUSG00000002032	ENSMUST00000214833	SignalP-noTM	1	26
ENSMUSG00000002032	ENSMUST00000213972	SignalP-noTM	1	26
ENSMUSG00000002032	ENSMUST00000213363	SignalP-noTM	1	26
ENSMUSG00000002032	ENSMUST00000214431	SignalP-noTM	1	26
ENSMUSG00000026295	ENSMUST00000027518	SignalP-noTM	1	23
ENSMUSG00000091813	ENSMUST00000172032	SignalP-noTM	1	25
ENSMUSG00000021831	ENSMUST00000022378	SignalP-noTM	1	23
ENSMUSG00000033898	ENSMUST00000194186	SignalP-noTM	1	23
ENSMUSG00000033898	ENSMUST00000094489	SignalP-noTM	1	23
ENSMUSG00000032473	ENSMUST00000035048	SignalP-noTM	1	23
ENSMUSG00000032473	ENSMUST00000136429	SignalP-noTM	1	23
ENSMUSG00000024738	ENSMUST00000025647	SignalP-noTM	1	15
ENSMUSG00000022661	ENSMUST00000163230	SignalP-noTM	1	30
ENSMUSG00000022661	ENSMUST00000023341	SignalP-noTM	1	30
ENSMUSG00000015850	ENSMUST00000117782	SignalP-noTM	1	24
ENSMUSG00000015850	ENSMUST00000015994	SignalP-noTM	1	24
ENSMUSG00000015850	ENSMUST00000148854	SignalP-noTM	1	24
ENSMUSG00000024247	ENSMUST00000170794	SignalP-noTM	1	23
ENSMUSG00000026258	ENSMUST00000027476	SignalP-noTM	1	19
ENSMUSG00000070873	ENSMUST00000117550	SignalP-noTM	1	16
ENSMUSG00000022227	ENSMUST00000022836	SignalP-noTM	1	18
ENSMUSG00000014361	ENSMUST00000014505	SignalP-noTM	1	22
ENSMUSG00000041891	ENSMUST00000048260	SignalP-noTM	1	32
ENSMUSG00000041891	ENSMUST00000120461	SignalP-noTM	1	32
ENSMUSG00000071361	ENSMUST00000095798	SignalP-TM	1	18
ENSMUSG00000027824	ENSMUST00000029406	SignalP-noTM	1	21
ENSMUSG00000032554	ENSMUST00000112645	SignalP-noTM	1	19
ENSMUSG00000032554	ENSMUST00000035158	SignalP-noTM	1	19
ENSMUSG00000032554	ENSMUST00000165296	SignalP-noTM	1	19
ENSMUSG00000021133	ENSMUST00000068519	SignalP-TM	1	39
ENSMUSG00000043897	ENSMUST00000177151	SignalP-noTM	1	22
ENSMUSG00000018595	ENSMUST00000018739	SignalP-noTM	1	27
ENSMUSG00000099898	ENSMUST00000187081	SignalP-noTM	1	21
ENSMUSG00000002771	ENSMUST00000002848	SignalP-noTM	1	25
ENSMUSG00000002771	ENSMUST00000211713	SignalP-noTM	1	25
ENSMUSG00000002771	ENSMUST00000211250	SignalP-noTM	1	25
ENSMUSG00000027435	ENSMUST00000099269	SignalP-noTM	1	23
ENSMUSG00000048834	ENSMUST00000109645	SignalP-noTM	1	24
ENSMUSG00000048834	ENSMUST00000109647	SignalP-noTM	1	24
ENSMUSG00000049281	ENSMUST00000049941	SignalP-noTM	1	24
ENSMUSG00000049281	ENSMUST00000171835	SignalP-noTM	1	24
ENSMUSG00000049281	ENSMUST00000114956	SignalP-noTM	1	24
ENSMUSG00000049281	ENSMUST00000216398	SignalP-TM	1	22
ENSMUSG00000059383	ENSMUST00000074880	SignalP-noTM	1	19
ENSMUSG00000001348	ENSMUST00000069330	SignalP-noTM	1	24
ENSMUSG00000001348	ENSMUST00000165735	SignalP-noTM	1	24
ENSMUSG00000001348	ENSMUST00000213815	SignalP-noTM	1	24
ENSMUSG00000001348	ENSMUST00000217643	SignalP-noTM	1	24
ENSMUSG00000001348	ENSMUST00000115315	SignalP-noTM	1	24
ENSMUSG00000040710	ENSMUST00000043336	SignalP-noTM	1	26
ENSMUSG00000040710	ENSMUST00000189556	SignalP-noTM	1	26
ENSMUSG00000001260	ENSMUST00000031119	SignalP-noTM	1	20
ENSMUSG00000001260	ENSMUST00000199705	SignalP-noTM	1	30
ENSMUSG00000028469	ENSMUST00000030191	SignalP-noTM	1	22
ENSMUSG00000028469	ENSMUST00000107874	SignalP-noTM	1	22
ENSMUSG00000028370	ENSMUST00000084501	SignalP-noTM	1	22
ENSMUSG00000090639	ENSMUST00000166836	SignalP-noTM	1	19
ENSMUSG00000054764	ENSMUST00000130141	SignalP-TM	1	28
