Gene stable ID	Transcript stable ID	Protein stable ID	Transcript type	Source (transcript)	Gene name
ENSMUSG00000004891	ENSMUST00000090973	ENSMUSP00000088493	protein_coding	ensembl_havana	Nes
ENSMUSG00000041439	ENSMUST00000156876	ENSMUSP00000122881	protein_coding	ensembl_havana	Mfsd6
ENSMUSG00000041439	ENSMUST00000188126		retained_intron	havana	Mfsd6
ENSMUSG00000041439	ENSMUST00000087701	ENSMUSP00000084991	protein_coding	ensembl_havana	Mfsd6
ENSMUSG00000050912	ENSMUST00000052865	ENSMUSP00000051966	protein_coding	ensembl_havana	Tmem123
ENSMUSG00000050912	ENSMUST00000154371	ENSMUSP00000120727	nonsense_mediated_decay	havana	Tmem123
ENSMUSG00000052563	ENSMUST00000064493	ENSMUSP00000069562	protein_coding	ensembl_havana	D930048N14Rik
ENSMUSG00000021360	ENSMUST00000110191	ENSMUSP00000105820	protein_coding	ensembl_havana	Gcnt2
ENSMUSG00000021360	ENSMUST00000069958	ENSMUSP00000070942	protein_coding	ensembl_havana	Gcnt2
ENSMUSG00000032078	ENSMUST00000156440	ENSMUSP00000117725	protein_coding	ensembl_havana	Zpr1
ENSMUSG00000001053	ENSMUST00000001080	ENSMUSP00000001080	protein_coding	ensembl_havana	N4bp3
ENSMUSG00000030084	ENSMUST00000163139	ENSMUSP00000131840	protein_coding	ensembl_havana	Plxna1
ENSMUSG00000038520	ENSMUST00000047085	ENSMUSP00000048260	protein_coding	ensembl_havana	Tbc1d17
ENSMUSG00000026502	ENSMUST00000069568	ENSMUSP00000063638	protein_coding	ensembl	Desi2
ENSMUSG00000036534	ENSMUST00000040481	ENSMUSP00000037023	protein_coding	ensembl_havana	Slc38a7
ENSMUSG00000071203	ENSMUST00000049789	ENSMUSP00000058611	protein_coding	ensembl_havana	Naip5
ENSMUSG00000037754	ENSMUST00000052927	ENSMUSP00000062615	protein_coding	ensembl_havana	Ppp1r16b
ENSMUSG00000038991	ENSMUST00000035988	ENSMUSP00000041839	protein_coding	ensembl_havana	Txndc5
ENSMUSG00000069135	ENSMUST00000097419	ENSMUSP00000095030	protein_coding	havana	Fgfr1op
ENSMUSG00000035547	ENSMUST00000040971	ENSMUSP00000048183	protein_coding	ensembl_havana	Capn5
ENSMUSG00000033502	ENSMUST00000090464	ENSMUSP00000087950	protein_coding	ensembl_havana	Cdc14a
ENSMUSG00000031851	ENSMUST00000034313	ENSMUSP00000034313	protein_coding	ensembl_havana	Ntpcr
ENSMUSG00000031851	ENSMUST00000065135	ENSMUSP00000069384	protein_coding	havana	Ntpcr
ENSMUSG00000029647	ENSMUST00000031651	ENSMUSP00000031651	protein_coding	ensembl_havana	Pan3
ENSMUSG00000029647	ENSMUST00000201799		retained_intron	havana	Pan3
ENSMUSG00000029647	ENSMUST00000201248		retained_intron	havana	Pan3
ENSMUSG00000029647	ENSMUST00000202559		retained_intron	havana	Pan3
ENSMUSG00000015095	ENSMUST00000015239	ENSMUSP00000015239	protein_coding	ensembl_havana	Fbxw5
ENSMUSG00000015095	ENSMUST00000129104		processed_transcript	havana	Fbxw5
ENSMUSG00000022665	ENSMUST00000099498	ENSMUSP00000097097	protein_coding	havana	Ccdc80
ENSMUSG00000020260	ENSMUST00000217993		retained_intron	havana	Pofut2
ENSMUSG00000029669	ENSMUST00000031678	ENSMUSP00000031678	protein_coding	ensembl_havana	Tspan12
ENSMUSG00000022216	ENSMUST00000173544		retained_intron	havana	Psme1
ENSMUSG00000040390	ENSMUST00000036453	ENSMUSP00000037725	protein_coding	havana	Map3k10
ENSMUSG00000040390	ENSMUST00000138243	ENSMUSP00000146275	protein_coding	havana	Map3k10
ENSMUSG00000055240	ENSMUST00000167107	ENSMUSP00000132508	protein_coding	ensembl_havana	Zfp101
ENSMUSG00000055240	ENSMUST00000174512	ENSMUSP00000133873	protein_coding	havana	Zfp101
ENSMUSG00000014349	ENSMUST00000100528	ENSMUSP00000098097	protein_coding	ensembl_havana	Ube2z
ENSMUSG00000084128	ENSMUST00000115979	ENSMUSP00000111639	protein_coding	ensembl_havana	Esrp2
ENSMUSG00000034361	ENSMUST00000048653	ENSMUSP00000045755	protein_coding	ensembl_havana	Cpne2
ENSMUSG00000034361	ENSMUST00000136550		processed_transcript	havana	Cpne2
ENSMUSG00000021779	ENSMUST00000224438		retained_intron	havana	Thrb
ENSMUSG00000021779	ENSMUST00000022303	ENSMUSP00000022303	protein_coding	ensembl_havana	Thrb
ENSMUSG00000038235	ENSMUST00000043839	ENSMUSP00000041907	protein_coding	ensembl_havana	F11r
ENSMUSG00000038235	ENSMUST00000144497		retained_intron	havana	F11r
ENSMUSG00000035473	ENSMUST00000039205	ENSMUSP00000040580	protein_coding	ensembl_havana	Galm
ENSMUSG00000109511	ENSMUST00000057195	ENSMUSP00000056785	protein_coding	ensembl_havana	Nup62
ENSMUSG00000011427	ENSMUST00000178162	ENSMUSP00000136932	protein_coding	ensembl_havana	Zfp790
ENSMUSG00000011427	ENSMUST00000032796	ENSMUSP00000032796	protein_coding	ensembl_havana	Zfp790
ENSMUSG00000029363	ENSMUST00000150962		retained_intron	havana	Rfc5
ENSMUSG00000032497	ENSMUST00000198127		retained_intron	havana	Lrrfip2
ENSMUSG00000032497	ENSMUST00000199711		retained_intron	havana	Lrrfip2
ENSMUSG00000032497	ENSMUST00000196906		retained_intron	havana	Lrrfip2
ENSMUSG00000032497	ENSMUST00000035078	ENSMUSP00000035078	protein_coding	ensembl	Lrrfip2
ENSMUSG00000032606	ENSMUST00000035227	ENSMUSP00000035227	protein_coding	ensembl_havana	Nicn1
ENSMUSG00000033323	ENSMUST00000036229	ENSMUSP00000038938	protein_coding	ensembl_havana	Ctdp1
ENSMUSG00000074754	ENSMUST00000136628	ENSMUSP00000132193	protein_coding	ensembl_havana	Smim26
ENSMUSG00000026150	ENSMUST00000162003	ENSMUSP00000124334	protein_coding	havana	Mff
ENSMUSG00000026150	ENSMUST00000188333		retained_intron	havana	Mff
ENSMUSG00000038539	ENSMUST00000047356	ENSMUSP00000047771	protein_coding	ensembl_havana	Atf5
ENSMUSG00000022037	ENSMUST00000022616	ENSMUSP00000022616	protein_coding	ensembl_havana	Clu
ENSMUSG00000022037	ENSMUST00000146990		retained_intron	havana	Clu
ENSMUSG00000045216	ENSMUST00000088174	ENSMUSP00000085499	protein_coding	ensembl_havana	Hs6st1
ENSMUSG00000045216	ENSMUST00000194670		retained_intron	havana	Hs6st1
ENSMUSG00000075040	ENSMUST00000099714	ENSMUSP00000097301	protein_coding	havana	Zfp408
ENSMUSG00000075040	ENSMUST00000111333	ENSMUSP00000106965	protein_coding	ensembl_havana	Zfp408
ENSMUSG00000040022	ENSMUST00000171986	ENSMUSP00000128813	protein_coding	ensembl_havana	Rab11fip2
ENSMUSG00000040022	ENSMUST00000051996	ENSMUSP00000059978	protein_coding	ensembl_havana	Rab11fip2
ENSMUSG00000021277	ENSMUST00000021706	ENSMUSP00000021706	protein_coding	ensembl_havana	Traf3
ENSMUSG00000034636	ENSMUST00000043616	ENSMUSP00000043844	protein_coding	ensembl_havana	Zyg11b
ENSMUSG00000047417	ENSMUST00000182682		retained_intron	havana	Rexo1
ENSMUSG00000047417	ENSMUST00000057910	ENSMUSP00000049705	protein_coding	ensembl_havana	Rexo1
ENSMUSG00000032551	ENSMUST00000035154	ENSMUSP00000035154	protein_coding	ensembl_havana	1110059G10Rik
ENSMUSG00000032551	ENSMUST00000215129		retained_intron	havana	1110059G10Rik
ENSMUSG00000031902	ENSMUST00000109308	ENSMUSP00000104931	protein_coding	ensembl_havana	Nfatc3
ENSMUSG00000031902	ENSMUST00000212691		retained_intron	havana	Nfatc3
ENSMUSG00000031902	ENSMUST00000212671		retained_intron	havana	Nfatc3
ENSMUSG00000029364	ENSMUST00000031309	ENSMUSP00000031309	protein_coding	ensembl_havana	Wsb2
ENSMUSG00000029364	ENSMUST00000125522		retained_intron	havana	Wsb2
ENSMUSG00000025584	ENSMUST00000026672	ENSMUSP00000026672	protein_coding	ensembl_havana	Pde8a
ENSMUSG00000039270	ENSMUST00000107359	ENSMUSP00000102982	protein_coding	ensembl_havana	Megf9
ENSMUSG00000061759	ENSMUST00000118544	ENSMUSP00000114073	protein_coding	havana	Armt1
ENSMUSG00000061759	ENSMUST00000131636		processed_transcript	havana	Armt1
ENSMUSG00000042248	ENSMUST00000049178	ENSMUSP00000045362	protein_coding	ensembl_havana	Cyp2c37
ENSMUSG00000002524	ENSMUST00000100527	ENSMUSP00000098096	protein_coding	ensembl_havana	Puf60
ENSMUSG00000002524	ENSMUST00000227251		retained_intron	havana	Puf60
ENSMUSG00000037805	ENSMUST00000152665		retained_intron	havana	Rpl10a
ENSMUSG00000026857	ENSMUST00000041830	ENSMUSP00000035303	protein_coding	ensembl_havana	Ntmt1
ENSMUSG00000021794	ENSMUST00000022322	ENSMUSP00000022322	protein_coding	ensembl_havana	Glud1
ENSMUSG00000078784	ENSMUST00000186870	ENSMUSP00000139464	protein_coding	havana	1810022K09Rik
ENSMUSG00000022013	ENSMUST00000226459	ENSMUSP00000154390	protein_coding	ensembl_havana	Dnajc15
ENSMUSG00000036918	ENSMUST00000041110	ENSMUSP00000040771	protein_coding	ensembl_havana	Ttc7
ENSMUSG00000033411	ENSMUST00000036647	ENSMUSP00000047543	protein_coding	ensembl_havana	Ctdspl2
ENSMUSG00000020027	ENSMUST00000139210	ENSMUSP00000121305	nonsense_mediated_decay	havana	Socs2
ENSMUSG00000020027	ENSMUST00000020215	ENSMUSP00000020215	protein_coding	ensembl_havana	Socs2
ENSMUSG00000020027	ENSMUST00000119917	ENSMUSP00000113378	protein_coding	havana	Socs2
ENSMUSG00000020790	ENSMUST00000155998	ENSMUSP00000118751	protein_coding	ensembl_havana	Ankfy1
ENSMUSG00000020790	ENSMUST00000150172		retained_intron	havana	Ankfy1
ENSMUSG00000061947	ENSMUST00000044231	ENSMUSP00000048357	protein_coding	ensembl_havana	Serpina10
ENSMUSG00000015501	ENSMUST00000191138	ENSMUSP00000140150	protein_coding	havana	Hivep2
ENSMUSG00000022312	ENSMUST00000022925	ENSMUSP00000022925	protein_coding	ensembl_havana	Eif3h
ENSMUSG00000021671	ENSMUST00000099295	ENSMUSP00000096898	protein_coding	ensembl_havana	Poc5
ENSMUSG00000021671	ENSMUST00000221039		retained_intron	havana	Poc5
ENSMUSG00000027552	ENSMUST00000029069	ENSMUSP00000029069	protein_coding	ensembl_havana	E2f5
ENSMUSG00000054827	ENSMUST00000068094	ENSMUSP00000068039	protein_coding	ensembl_havana	Cyp2c50
ENSMUSG00000054827	ENSMUST00000080171	ENSMUSP00000079065	protein_coding	ensembl_havana	Cyp2c50
ENSMUSG00000054827	ENSMUST00000124391		retained_intron	havana	Cyp2c50
ENSMUSG00000048938	ENSMUST00000058899	ENSMUSP00000052557	protein_coding	ensembl_havana	Nr1h5
ENSMUSG00000026573	ENSMUST00000027860	ENSMUSP00000027860	protein_coding	ensembl_havana	Xcl1
ENSMUSG00000039004	ENSMUST00000171970	ENSMUSP00000126999	protein_coding	ensembl_havana	Bmp6
ENSMUSG00000029314	ENSMUST00000112887	ENSMUSP00000108508	protein_coding	havana	Gpat3
ENSMUSG00000020273	ENSMUST00000020513	ENSMUSP00000020513	protein_coding	ensembl_havana	Papolg
ENSMUSG00000026368	ENSMUST00000027615	ENSMUSP00000027615	protein_coding	ensembl_havana	F13b
ENSMUSG00000026574	ENSMUST00000027861	ENSMUSP00000027861	protein_coding	ensembl_havana	Dpt
ENSMUSG00000032548	ENSMUST00000035148	ENSMUSP00000035148	protein_coding	ensembl_havana	Slco2a1
ENSMUSG00000032548	ENSMUST00000190892		retained_intron	havana	Slco2a1
ENSMUSG00000050855	ENSMUST00000145098		retained_intron	havana	Zfp940
ENSMUSG00000048728	ENSMUST00000163301	ENSMUSP00000129125	protein_coding	ensembl	Zfp454
ENSMUSG00000050856	ENSMUST00000049628	ENSMUSP00000051222	protein_coding	ensembl_havana	Atp5k
ENSMUSG00000028542	ENSMUST00000030269	ENSMUSP00000030269	protein_coding	ensembl_havana	Slc6a9
ENSMUSG00000032607	ENSMUST00000035230	ENSMUSP00000035230	protein_coding	ensembl_havana	Amt
ENSMUSG00000032607	ENSMUST00000160675		retained_intron	havana	Amt
ENSMUSG00000000440	ENSMUST00000171644	ENSMUSP00000131962	protein_coding	ensembl_havana	Pparg
ENSMUSG00000031148	ENSMUST00000049896	ENSMUSP00000076178	protein_coding	ensembl_havana	Gpkow
ENSMUSG00000029664	ENSMUST00000031674	ENSMUSP00000031674	protein_coding	ensembl_havana	Tfpi2
ENSMUSG00000022217	ENSMUST00000174352	ENSMUSP00000133463	protein_coding	havana	Emc9
ENSMUSG00000022217	ENSMUST00000173169		retained_intron	havana	Emc9
ENSMUSG00000020846	ENSMUST00000021207	ENSMUSP00000021207	protein_coding	ensembl_havana	Rflnb
ENSMUSG00000027474	ENSMUST00000127898		processed_transcript	havana	Ccm2l
ENSMUSG00000027474	ENSMUST00000127549		processed_transcript	havana	Ccm2l
ENSMUSG00000029111	ENSMUST00000030993	ENSMUSP00000030993	protein_coding	ensembl_havana	Nelfa
ENSMUSG00000031103	ENSMUST00000114958	ENSMUSP00000110608	protein_coding	havana	Elf4
ENSMUSG00000020484	ENSMUST00000063084	ENSMUSP00000054852	protein_coding	ensembl_havana	Xbp1
ENSMUSG00000020484	ENSMUST00000145588		retained_intron	havana	Xbp1
ENSMUSG00000020484	ENSMUST00000149623	ENSMUSP00000135768	protein_coding	havana	Xbp1
ENSMUSG00000026384	ENSMUST00000064091	ENSMUSP00000067614	protein_coding	ensembl_havana	Ptpn4
ENSMUSG00000049502	ENSMUST00000081933	ENSMUSP00000080601	protein_coding	ensembl_havana	Dtx3l
ENSMUSG00000022014	ENSMUST00000022591	ENSMUSP00000022591	protein_coding	ensembl_havana	Epsti1
ENSMUSG00000026611	ENSMUST00000183819	ENSMUSP00000138855	protein_coding	havana	Spata17
ENSMUSG00000029162	ENSMUST00000201621	ENSMUSP00000144050	protein_coding	ensembl_havana	Khk
ENSMUSG00000039934	ENSMUST00000197522		retained_intron	havana	Gsap
ENSMUSG00000039934	ENSMUST00000198014	ENSMUSP00000143739	nonsense_mediated_decay	havana	Gsap
ENSMUSG00000039934	ENSMUST00000036031	ENSMUSP00000043679	protein_coding	ensembl_havana	Gsap
ENSMUSG00000054452	ENSMUST00000220368		retained_intron	havana	Aes
ENSMUSG00000054452	ENSMUST00000002518	ENSMUSP00000002518	protein_coding	ensembl_havana	Aes
ENSMUSG00000054452	ENSMUST00000218690		retained_intron	havana	Aes
ENSMUSG00000024392	ENSMUST00000025250	ENSMUSP00000025250	protein_coding	ensembl	Bag6
ENSMUSG00000021013	ENSMUST00000085109	ENSMUSP00000082190	protein_coding	ensembl_havana	Ttc8
ENSMUSG00000021013	ENSMUST00000223277		retained_intron	havana	Ttc8
ENSMUSG00000057367	ENSMUST00000190341	ENSMUSP00000140049	protein_coding	havana	Birc2
ENSMUSG00000057367	ENSMUST00000189935		retained_intron	havana	Birc2
ENSMUSG00000057367	ENSMUST00000054878	ENSMUSP00000062610	protein_coding	ensembl	Birc2
ENSMUSG00000021311	ENSMUST00000099856	ENSMUSP00000097442	protein_coding	ensembl_havana	Mtr
ENSMUSG00000015127	ENSMUST00000160896	ENSMUSP00000124276	protein_coding	havana	Unkl
ENSMUSG00000022906	ENSMUST00000114878	ENSMUSP00000110528	protein_coding	ensembl_havana	Parp9
